# fsp observer convergence trace, every 5 s
# broad_order=512 broad_mu=0.03 broad_lp=9 fs=3788 start_delay=600 ramp=10
# ||dw|| is the tap change since the previous sample: it flattening is the observer having converged
# t_s n_closed y_wnorm y_wnextnorm y_dwnorm x_wnorm x_wnextnorm x_dwnorm y_drift x_drift y_guard x_guard y_trans x_trans mu
1010.035 1553250 3.4677983 3.9437972 0.010212366 2.7616586 3.0541425 0.00098202985 0 0 0 0 0 0 0.030506
1015.035 1572185 3.4682749 3.9443298 0.00612425 2.7616375 3.0541025 0.00096578451 0 0 0 0 0 0 0.030466
1020.035 1591126 3.4686762 3.9447752 0.0040588089 2.7616216 3.0540624 0.0011410379 0 0 0 0 0 0 0.030428
1025.035 1610068 3.4692607 3.9454172 0.0057438737 2.7616 3.0540205 0.00091808885 0 0 0 0 0 0 0.030394
1030.035 1629010 3.4698095 3.9460208 0.0051717678 2.7615597 3.053957 0.00098936336 0 0 0 0 0 0 0.030363
1035.035 1647951 3.4705325 3.9468094 0.010370964 2.7615222 3.0538963 0.0014650004 0 0 0 0 0 0 0.030334
1040.035 1666892 3.4712572 3.9476029 0.012785722 2.7615124 3.053866 0.0014393301 0 0 0 0 0 0 0.030307
1045.035 1685833 3.4718328 3.9482361 0.009137654 2.7616273 3.0539643 0.0031467572 0 0 0 0 0 0 0.030282
1050.035 1704774 3.47307 3.9496036 0.01226143 2.7615949 3.05391 0.0025089542 0 0 0 0 0 0 0.03026
1055.035 1723716 3.4736249 3.9502266 0.010500268 2.7615575 3.0538508 0.0013787955 0 0 0 0 0 0 0.030239
1060.035 1742657 3.4743385 3.9510201 0.0070919303 2.7615231 3.0537938 0.0010070429 0 0 0 0 0 0 0.03022
1065.035 1761598 3.4747432 3.9514707 0.0078025448 2.7614767 3.0537237 0.00097282828 0 0 0 0 0 0 0.030202
1070.035 1780540 3.4752464 3.9520276 0.0060815696 2.7614643 3.0536903 0.001044334 0 0 0 0 0 0 0.030186
1075.036 1799480 3.4758158 3.952658 0.0074801229 2.7614323 3.0536359 0.0010145657 0 0 0 0 0 0 0.030171
1080.036 1818421 3.476388 3.9533069 0.006957291 2.7613963 3.0535779 0.0010480147 0 0 0 0 0 0 0.030158
1085.036 1837362 3.4768282 3.9537797 0.0090003648 2.7614087 3.0535722 0.0014365943 0 0 0 0 0 0 0.030145
1090.036 1856304 3.4777677 3.9548128 0.01093683 2.7613644 3.0535069 0.0010578688 0 0 0 0 0 0 0.030133
1095.036 1875246 3.4784999 3.9556351 0.01441166 2.7613284 3.0534475 0.0015719487 0 0 0 0 0 0 0.030123
1100.036 1894188 3.4793167 3.9565316 0.016034326 2.7613162 3.0534164 0.0012684709 0 0 0 0 0 0 0.030113
1105.036 1913130 3.4799726 3.957259 0.010296963 2.7612896 3.0533708 0.00084407631 0 0 0 0 0 0 0.030104
1110.036 1932063 3.4806887 3.9580568 0.011400223 2.7612394 3.053298 0.0010346979 0 0 0 0 0 0 0.030096
1115.036 1950985 3.4815492 3.9589958 0.010513866 2.7612417 3.0532788 0.0014303528 0 0 0 0 0 0 0.030088
1120.036 1969927 3.482286 3.9598007 0.0099830418 2.7612232 3.053239 0.0013924934 0 0 0 0 0 0 0.030081
1125.036 1988868 3.4833623 3.9609986 0.0096290624 2.7611838 3.0531753 0.00091580375 0 0 0 0 0 0 0.030074
1130.036 2007809 3.4843578 3.9620936 0.0094446818 2.7611269 3.0530941 0.0012720771 0 0 0 0 0 0 0.030068
1135.036 2026751 3.4852055 3.9630237 0.013736042 2.7610981 3.0530443 0.0012958591 0 0 0 0 0 0 0.030063
1140.036 2045692 3.4860587 3.9639634 0.010899542 2.7610598 3.0529859 0.0010808822 0 0 0 0 0 0 0.030058
