# fsp observer convergence trace, every 5 s
# broad_order=512 broad_mu=0.03 broad_lp=5 fs=3788 start_delay=600 ramp=10
# ||dw|| is the tap change since the previous sample: it flattening is the observer having converged
# t_s n_closed y_wnorm y_wnextnorm y_dwnorm x_wnorm x_wnextnorm x_dwnorm y_drift x_drift y_guard x_guard y_trans x_trans
1335.040 2784523 0.39690919 0.39226308 0.00094617185 0.85684139 0.85136688 0.013032688 0 0 0 0 0 0
1340.040 2803464 0.39746057 0.39286387 0.0013354847 0.85903577 0.85367614 0.014222861 0 0 0 0 0 0
1345.040 2822406 0.39758889 0.39298627 0.0017701469 0.85968541 0.85429243 0.013133788 0 0 0 0 0 0
1350.041 2841348 0.3980558 0.39349548 0.0013991244 0.8608926 0.85562499 0.0083108003 0 0 0 0 0 0
1355.041 2860290 0.39828618 0.39373564 0.0010635306 0.86186246 0.85666436 0.0096732317 0 0 0 0 0 0
1360.041 2879231 0.39871106 0.39419302 0.001362004 0.86223709 0.8568601 0.010057643 0 0 0 0 0 0
1365.041 2898172 0.39904709 0.39455479 0.00087454917 0.86427234 0.859166 0.010372209 0 0 0 0 0 0
1370.041 2917113 0.39942377 0.39496748 0.0009815185 0.86398326 0.85865401 0.0087487459 0 0 0 0 0 0
1375.041 2936055 0.39971824 0.39528247 0.001170694 0.86454481 0.85915098 0.0091581777 0 0 0 0 0 0
1380.041 2954996 0.40027297 0.39588534 0.001509225 0.86572974 0.86033429 0.012912404 0 0 0 0 0 0
1385.042 2973938 0.40061608 0.39625459 0.00094037116 0.8666132 0.86123802 0.0093025352 0 0 0 0 0 0
1390.042 2992879 0.40096379 0.39663222 0.00075297588 0.86741983 0.86210244 0.0072666387 0 0 0 0 0 0
1395.042 3011821 0.4013435 0.3970481 0.00073689216 0.86782209 0.86248103 0.0071206263 0 0 0 0 0 0
1400.042 3030763 0.40167296 0.39740387 0.00071840842 0.867403 0.86172903 0.010469813 0 0 0 0 0 0
1405.042 3049704 0.40212903 0.39790513 0.001353036 0.86854556 0.86293755 0.0065722152 0 0 0 0 0 0
1410.042 3068646 0.4021677 0.39793052 0.0018229232 0.86850545 0.86264838 0.0084255756 0 0 0 0 0 0
1415.042 3087587 0.40253835 0.39833513 0.00084812136 0.86988854 0.86417317 0.009054289 0 0 0 0 0 0
1420.042 3106529 0.4027297 0.398537 0.00082690583 0.86969819 0.86376507 0.0057124665 0 0 0 0 0 0
1425.043 3125471 0.40291397 0.39872999 0.00061349699 0.86992328 0.86390085 0.0092288096 0 0 0 0 0 0
1430.043 3144413 0.40308274 0.39890928 0.00081154438 0.87072625 0.86477331 0.010345267 0 0 0 0 0 0
1435.043 3163355 0.40342183 0.39927741 0.00092521807 0.87168883 0.86581622 0.00632854 0 0 0 0 0 0
1440.043 3182297 0.40382201 0.39971464 0.0012875814 0.87237026 0.86646119 0.0071967534 0 0 0 0 0 0
1445.043 3201238 0.40406381 0.39995732 0.0018848964 0.87293344 0.86701361 0.005978024 0 0 0 0 0 0
